# expected_volume_mL=112.37,sensor_cal_factor=0.00052587,source_duration_s=25.00
time_s,mass_g,filt_mass_g,filt_inflow_g_s,kz_flow_g_s,cum_volume_g,cum_volume_mL,zone,is_roi
18.075114011764526,68.786758401,68.61421968136162,6.707542141391093,6.228913701105855,71.22823101588942,71.35667302733863,voiding,1
18.11269187927246,67.350607431,68.78148722365113,6.622398262104256,6.207461763758861,71.23850992892238,71.36697047577879,voiding,1
18.1142520904541,69.10438388099999,68.9462346573006,6.553911655315244,6.185788126350461,71.47399040476814,71.60287558081362,voiding,1
18.150311946868896,70.685674971,69.10964439050753,6.506621539107056,6.163893855310696,71.71787034236185,71.84719529389085,voiding,1
18.18786096572876,68.96239898099999,69.27295629925163,6.483328398273874,6.141780622743547,71.72509446383134,71.85443244222735,voiding,1
18.1889750957489,69.028132731,69.43739369902798,6.484855456194127,6.119450799885038,71.95974811652202,72.08950923314168,voiding,1
18.22509002685547,69.766980081,69.6040586661777,6.509972195464426,6.096907533570582,72.20469218026983,72.33489499125409,voiding,1
18.262584924697876,68.68105853099999,69.77381145163316,6.55548885885424,6.074154800464989,72.45226648391221,72.58291573223023,voiding,1
18.30017590522766,70.73352914099999,69.9471619405677,6.616516774051182,6.05119743496988,72.46116648689058,72.59183178410196,voiding,1
18.30151391029358,71.05588745099999,70.12419464581185,6.686875275909419,6.028041128147148,72.70471013667081,72.83581460295613,voiding,1
18.337738037109375,69.37468106099999,70.30453284489289,6.759613083557898,6.004692396544602,72.95946166047165,73.09102550638313,voiding,1
18.375236749649048,69.815885991,70.48734045210806,6.827601332473903,5.981158521341136,72.9679499715961,73.09952912401934,voiding,1
18.376474857330322,70.97858456099999,70.67136651479095,6.884148061921708,5.957447459628248,73.21733852105893,73.34936738234717,voiding,1
18.41259789466858,70.89391949099999,70.85504164878924,6.923580625318057,5.933567730839201,73.47757054075689,73.61006866435272,voiding,1
18.450134992599487,72.020858901,71.0366249648747,6.941743762674775,5.909528282299873,73.99844506392026,74.13188245233447,voiding,1
18.52519917488098,69.81798947099999,71.21438300261929,6.936367137409753,5.885338338616608,74.00760747267984,74.14106138316954,voiding,1
